KG_Pair,k1,b,epsilon,C Hits@1,C Hits@5,C Hits@10,C Hits@20,C Hits@50,P Hits@1,P Hits@5,P Hits@10,P Hits@20,P Hits@50,Total_Time_Seconds
starwars-swtor,1.8,0.75,,0.6,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.44642857142857145,0.5714285714285714,0.625,0.7857142857142857,0.9821428571428571,453.0279350280762
marvelcinematicuniverse-marvel,1.8,1.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.5454545454545454,448.2851719856262
memoryalpha-memorybeta,1.8,1.0,,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5283018867924528,0.8113207547169812,0.8679245283018868,0.8679245283018868,0.9056603773584906,271.9998118877411
memoryalpha-stexpanded,1.8,1.0,,0.3076923076923077,1.0,1.0,1.0,1.0,0.5121951219512195,0.7804878048780488,0.8292682926829268,0.9024390243902439,0.9512195121951219,166.43386483192444
starwars-swg,1.8,1.0,,0.6,0.6,0.6,0.6,0.8,0.25,0.35,0.4,0.45,0.6,449.88491010665894
starwars-swtor,1.8,1.0,,0.6,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.44642857142857145,0.6428571428571429,0.6964285714285714,0.8035714285714286,0.9821428571428571,452.56686878204346
marvelcinematicuniverse-marvel,2.4,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,447.3598997592926
memoryalpha-memorybeta,2.4,0.0,,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.32075471698113206,0.5471698113207547,0.660377358490566,0.7924528301886793,0.8679245283018868,272.0010497570038
memoryalpha-stexpanded,2.4,0.0,,0.38461538461538464,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,0.2682926829268293,0.5121951219512195,0.6829268292682927,0.8536585365853658,0.8780487804878049,166.48021292686462
starwars-swg,2.4,0.0,,0.0,0.6,0.6,0.6,0.8,0.1,0.15,0.25,0.4,0.55,448.3637340068817
starwars-swtor,2.4,0.0,,0.4,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.16071428571428573,0.375,0.5357142857142857,0.6607142857142857,0.875,453.1038279533386
marvelcinematicuniverse-marvel,2.4,0.3,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.45454545454545453,448.16523003578186
memoryalpha-memorybeta,2.4,0.3,,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4528301886792453,0.7358490566037735,0.7924528301886793,0.8490566037735849,0.8867924528301887,272.39714789390564
memoryalpha-stexpanded,2.4,0.3,,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,1.0,0.43902439024390244,0.6585365853658537,0.7804878048780488,0.8780487804878049,0.926829268292683,166.57575607299805
starwars-swg,2.4,0.3,,0.4,0.6,0.6,0.6,0.8,0.05,0.15,0.3,0.45,0.6,448.46776390075684
starwars-swtor,2.4,0.3,,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.375,0.5357142857142857,0.6071428571428571,0.7857142857142857,0.9464285714285714,454.93390107154846
marvelcinematicuniverse-marvel,2.4,0.75,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,452.6930830478668
memoryalpha-memorybeta,2.4,0.75,,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5471698113207547,0.8113207547169812,0.8490566037735849,0.8867924528301887,0.9056603773584906,275.0700042247772
memoryalpha-stexpanded,2.4,0.75,,0.6153846153846154,0.8461538461538461,0.9230769230769231,1.0,1.0,0.5121951219512195,0.7560975609756098,0.8292682926829268,0.8780487804878049,0.9512195121951219,168.1669409275055
starwars-swg,2.4,0.75,,0.6,0.6,0.6,0.6,0.8,0.15,0.35,0.4,0.5,0.6,449.1313548088074
starwars-swtor,2.4,0.75,,0.6,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.44642857142857145,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.9821428571428571,458.9265880584717
marvelcinematicuniverse-marvel,2.4,1.0,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.5454545454545454,449.80199003219604
memoryalpha-memorybeta,2.4,1.0,,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6037735849056604,0.8113207547169812,0.8679245283018868,0.8679245283018868,0.9056603773584906,272.62075090408325
memoryalpha-stexpanded,2.4,1.0,,0.3076923076923077,0.9230769230769231,0.9230769230769231,1.0,1.0,0.5365853658536586,0.8048780487804879,0.8292682926829268,0.9024390243902439,0.975609756097561,167.1304807662964
starwars-swg,2.4,1.0,,0.6,0.6,0.6,0.6,0.8,0.25,0.35,0.45,0.45,0.65,447.927716255188
starwars-swtor,2.4,1.0,,0.6,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.39285714285714285,0.6428571428571429,0.7321428571428571,0.7857142857142857,0.9821428571428571,453.6934971809387
